date,lang,grouping_eng,e_interest_eng,e_p1_eng,e_p2_eng,e_p3_eng,e_p4_eng,e_p5_eng,e_g1_eng,e_g2_eng,e_g3_eng,e_g4_eng,e_g5_eng,e_g6_eng,c_interest_eng,c_p1_eng,c_p2_eng,c_p3_eng,c_p4_eng,c_p5_eng,c_g1_eng,c_g2_eng,c_g3_eng,c_g4_eng,c_g5_eng,c_g6_eng,c_invest_eng,ec_neighb_eng,ec_loc_eng,ec_gender_eng,ec_age_eng,ec_edu_eng,grouping_nl,e_interest_nl,e_p1_nl,e_p2_nl,e_p3_nl,e_p4_nl,e_p5_nl,e_g1_nl,e_g2_nl,e_g3_nl,e_g4_nl,e_g5_nl,e_g6_nl,c_interest_nl,c_p1_nl,c_p2_nl,c_p3_nl,c_p4_nl,c_p5_nl,c_g1_nl,c_g2_nl,c_g3_nl,c_g4_nl,c_g5_nl,c_g6_nl,c_invest_nl,ec_neighb_nl,ec_loc_nl,ec_gender_nl,ec_age_nl,ec_edu_nl,grouping_fr,e_interest_fr,e_p1_fr,e_p2_fr,e_p3_fr,e_p4_fr,e_p5_fr,e_g1_fr,e_g2_fr,e_g3_fr,e_g4_fr,e_g5_fr,e_g6_fr,c_interest_fr,c_p1_fr,c_p2_fr,c_p3_fr,c_p4_fr,c_p5_fr,c_g1_fr,c_g2_fr,c_g3_fr,c_g4_fr,c_g5_fr,c_g6_fr,c_invest_fr,ec_neighb_fr,ec_loc_fr,ec_gender_fr,ec_age_fr,ec_edu_fr
"2018/04/26 1:53:52 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à me porter volontaire pour des initiatives citoyennes qui me tiennent à cœur.","D'accord","D'accord","Sans opinion","Sans opinion","D'accord","Sans opinion","D'accord","Sans opinion","D'accord","D'accord","Sans opinion","","Tout à fait d'accord","Wallonie","un homme","25-34 ans.","Master"
"2018/04/26 6:06:52 PM GMT+2","English","Active member of a local citizen led initiative, social project or social organization.","I could be interested to join a civic crowdfunding platform","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","","","","","","","","","","","","","","Neither agree nor disagree","Wallonia","a woman","35-44 years old.","Master’s degree.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/04/26 6:14:14 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par une contribution en tant que volontaire dans une initiative citoyenne","Pas d'accord","D'accord","Pas d'accord","Pas d'accord","Pas d'accord","Pas d'accord","Pas d'accord","Sans opinion","D'accord","Sans opinion","Sans opinion","","Pas d'accord","Bruxelles-Capitale","un homme","25-34 ans.","Master"
"2018/04/26 6:22:25 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je ne suis pas intéressé.e par les initiatives citoyennes","Pas d'accord","D'accord","Sans opinion","Pas d'accord","Tout à fait d'accord","Pas d'accord","Pas du tout d'accord","Pas d'accord","D'accord","Sans opinion","Sans opinion","","D'accord","Bruxelles-Capitale","une femme","25-34 ans.","Master"
"2018/04/27 12:52:58 AM GMT+2","Nederlands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Een burger die geen deel uitmaakt van een lokaal burgerinitiatief, een sociaal project of een sociale organisatie.","","","","","","","","","","","","","Ik ben niet geinteresseerd door burgerinitiatieven","niet akkoord","niet akkoord","geen mening","geen mening","niet akkoord","niet akkoord","akkoord","geen mening","geen mening","akkoord","geen mening","","Helemaal niet akkoord","Brussels","een man","18-24jaar","Bachelor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/04/27 8:30:06 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par une contribution en tant que volontaire dans une initiative citoyenne","Pas d'accord","Pas d'accord","Pas d'accord","D'accord","D'accord","Pas d'accord","Sans opinion","Pas d'accord","D'accord","Pas d'accord","Pas d'accord","","D'accord","Bruxelles-Capitale","Une femme","25-34 ans.","Master"
"2018/04/27 8:34:27 PM GMT+2","English","Citizen with no active implication in a local citizen's initiative, social project or social organization.","","","","","","","","","","","","","I could be interested to volunteer for a citizen's initiative.","Neither agree nor disagree","Neither agree nor disagree","Disagree","Disagree","Agree","Strongly disagree","Agree","Disagree","Agree","Agree","Agree","","Agree","Brussels","Male","45-54 years old.","Doctorate degree.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/04/27 8:42:01 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à contribuer en tant que volontaire dans une initiative citoyenne","Pas d'accord","D'accord","Pas d'accord","Sans opinion","Tout à fait d'accord","D'accord","D'accord","Pas d'accord","Tout à fait d'accord","Sans opinion","Sans opinion","","Tout à fait d'accord","Bruxelles-Capitale","Un homme","35-44 ans.","Bachelier"
"2018/04/27 8:54:04 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par une contribution en tant que volontaire dans une initiative citoyenne","Sans opinion","Sans opinion","Sans opinion","Sans opinion","D'accord","Pas d'accord","Sans opinion","Sans opinion","D'accord","D'accord","D'accord","","Sans opinion","Flandre","Un homme","65-74 ans.","Diplôme secondaire technique"
"2018/04/27 8:54:54 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par le financement d'une initiative citoyenne","Sans opinion","Sans opinion","Pas d'accord","D'accord","Pas du tout d'accord","D'accord","Sans opinion","Pas d'accord","Sans opinion","Sans opinion","D'accord","","D'accord","Bruxelles-Capitale","Un homme","45-54 ans.","Master"
